transaction_id,card_id,timestamp,amount,merchant_category,country,card_present,is_fraud
txn_0000000,card_00044,2026-01-09T08:21:49Z,10.27,travel,GB,True,False
txn_0000001,card_00572,2026-01-07T17:41:19Z,22.93,travel,AE,False,False
txn_0000002,card_00589,2026-01-09T07:19:12Z,216.55,atm_withdrawal,US,True,False
txn_0000003,card_00677,2026-01-20T13:23:23Z,26.71,restaurant,DE,False,False
txn_0000004,card_00700,2026-01-08T09:58:36Z,25.1,online_retail,DE,False,False
txn_0000005,card_00439,2026-01-23T18:37:44Z,26.33,travel,IN,True,False
txn_0000006,card_00549,2026-01-14T11:47:21Z,103.3,electronics,SG,True,False
txn_0000007,card_00808,2026-01-11T23:12:52Z,263.21,atm_withdrawal,GB,False,False
txn_0000008,card_00348,2026-01-10T11:19:43Z,105.84,utilities,IN,False,False
txn_0000009,card_00191,2026-01-15T21:01:12Z,50.57,electronics,DE,False,False
txn_0000010,card_00517,2026-01-06T22:15:07Z,235.25,utilities,AE,False,False
txn_0000011,card_00226,2026-01-14T21:45:31Z,88.4,utilities,US,False,False
txn_0000012,card_00256,2026-01-02T18:54:14Z,31.28,travel,SG,True,False
txn_0000013,card_00241,2026-01-29T10:59:15Z,152.81,online_retail,SG,False,False
txn_0000014,card_00331,2026-01-16T18:54:40Z,203.79,electronics,SG,False,False
txn_0000015,card_00467,2026-01-29T03:57:43Z,161.16,fuel,SG,False,False
txn_0000016,card_00007,2026-01-10T16:02:55Z,41.97,electronics,AE,False,False
txn_0000017,card_00075,2026-01-21T20:29:11Z,31.6,grocery,US,False,False
txn_0000018,card_00007,2026-01-14T18:21:59Z,331.61,fuel,AE,True,True
txn_0000019,card_00541,2026-01-24T17:59:26Z,69.14,restaurant,SG,True,False
txn_0000020,card_00405,2026-01-10T20:47:25Z,200.6,restaurant,SG,True,False
txn_0000021,card_00888,2026-01-29T23:19:35Z,26.23,grocery,SG,False,False
txn_0000022,card_00194,2026-01-11T20:23:45Z,66.86,entertainment,AE,True,False
txn_0000023,card_00811,2026-01-15T05:10:31Z,42.03,utilities,AE,False,False
txn_0000024,card_00668,2026-01-30T18:35:31Z,209.24,entertainment,AE,True,False
txn_0000025,card_00404,2026-01-21T16:45:47Z,59.01,pharmacy,AE,False,False
txn_0000026,card_00171,2026-01-05T22:24:45Z,24.79,online_retail,IN,True,False
txn_0000027,card_00259,2026-01-10T20:05:11Z,42.95,pharmacy,GB,False,False
txn_0000028,card_00152,2026-01-19T00:06:52Z,126.81,restaurant,AE,True,False
txn_0000029,card_00810,2026-01-28T00:26:03Z,45.79,grocery,GB,True,False
txn_0000030,card_00853,2026-01-17T17:15:40Z,26.57,atm_withdrawal,US,True,False
txn_0000031,card_00728,2026-01-18T20:25:26Z,47.65,pharmacy,AE,False,False
txn_0000032,card_00092,2026-01-16T13:21:49Z,153.45,grocery,GB,False,False
txn_0000033,card_00821,2026-01-27T12:30:20Z,40.19,fuel,IN,True,False
txn_0000034,card_00747,2026-01-05T04:42:02Z,22.46,utilities,AE,True,False
txn_0000035,card_00442,2026-01-02T10:25:45Z,214.59,utilities,US,True,False
txn_0000036,card_00474,2026-01-23T04:12:11Z,320.47,grocery,SG,True,False
txn_0000037,card_00127,2026-01-25T11:49:26Z,178.53,atm_withdrawal,AE,True,False
txn_0000038,card_00260,2026-01-19T23:46:58Z,42.84,atm_withdrawal,IN,True,False
txn_0000039,card_00830,2026-01-07T09:17:40Z,36.08,grocery,GB,False,False
txn_0000040,card_00688,2026-01-23T20:04:56Z,320.57,restaurant,GB,True,True
txn_0000041,card_00785,2026-01-03T01:47:27Z,44.45,electronics,AE,False,False
txn_0000042,card_00324,2026-01-19T22:58:57Z,32.49,fuel,SG,False,False
txn_0000043,card_00698,2026-01-02T13:13:44Z,31.54,entertainment,DE,False,False
txn_0000044,card_00036,2026-01-02T03:07:23Z,32.72,entertainment,IN,False,False
txn_0000045,card_00822,2026-01-03T21:41:16Z,63.49,pharmacy,AE,False,False
txn_0000046,card_00235,2026-01-18T01:42:27Z,89.15,utilities,GB,True,False
txn_0000047,card_00092,2026-01-27T22:57:17Z,21.59,utilities,IN,True,False
txn_0000048,card_00842,2026-01-15T13:36:56Z,8.57,atm_withdrawal,AE,False,False
txn_0000049,card_00534,2026-01-30T18:41:12Z,22.3,atm_withdrawal,IN,True,False
txn_0000050,card_00363,2026-01-02T12:08:11Z,79.99,fuel,DE,True,False
txn_0000051,card_00655,2026-01-11T22:49:51Z,119.75,atm_withdrawal,DE,False,False
txn_0000052,card_00181,2026-01-07T05:25:24Z,38.23,electronics,US,True,False
txn_0000053,card_00339,2026-01-02T16:25:47Z,196.98,fuel,IN,False,False
txn_0000054,card_00440,2026-01-17T09:32:39Z,259.49,travel,AE,True,False
txn_0000055,card_00040,2026-01-05T23:36:44Z,26.58,pharmacy,GB,True,False
txn_0000056,card_00210,2026-01-07T13:12:00Z,96.39,online_retail,IN,False,False
txn_0000057,card_00819,2026-01-28T17:53:02Z,77.97,grocery,IN,True,False
txn_0000058,card_00136,2026-01-29T22:07:41Z,22.72,atm_withdrawal,DE,True,False
txn_0000059,card_00551,2026-01-30T20:54:48Z,82.19,grocery,DE,False,False
txn_0000060,card_00032,2026-01-03T13:21:23Z,271.88,restaurant,IN,True,False
txn_0000061,card_00339,2026-01-14T15:28:32Z,14.27,utilities,DE,True,False
txn_0000062,card_00410,2026-01-19T17:41:58Z,231.32,atm_withdrawal,AE,False,False
txn_0000063,card_00300,2026-01-10T13:56:09Z,121.01,entertainment,AE,False,False
txn_0000064,card_00662,2026-01-26T18:10:29Z,75.77,utilities,AE,True,False
txn_0000065,card_00107,2026-01-04T20:28:02Z,42.69,pharmacy,US,True,False
txn_0000066,card_00630,2026-01-01T06:28:30Z,2055.7,travel,AE,False,False
txn_0000067,card_00102,2026-01-28T20:35:42Z,6.7,electronics,US,True,False
txn_0000068,card_00508,2026-01-05T00:29:40Z,414.47,restaurant,GB,False,False
txn_0000069,card_00370,2026-01-09T00:14:12Z,146.44,atm_withdrawal,US,False,False
txn_0000070,card_00872,2026-01-23T02:14:21Z,103.72,entertainment,GB,False,False
txn_0000071,card_00564,2026-01-25T09:16:55Z,28.96,entertainment,IN,False,False
txn_0000072,card_00630,2026-01-11T12:16:03Z,3.98,pharmacy,GB,True,False
